icao	latitude	longitude	elev	name	state	country	wban	ncei_id	county	timezone
TDAY	40.0219439999999977	-84.1230560000000054	"1020"	DAYTON	OH	UNITED STATES		"30112666"	MIAMI	"-5"
TDCA	38.7588890000000035	-76.9619440000000026	"344"	WASHINGTON NATL	MD	UNITED STATES		"30112699"	PRINCE GEORGE'S	"-5"
TDEN	39.7280560000000023	-104.5261100000000027	"5702"	DENVER	CO	UNITED STATES		"30112667"	ARAPAHOE	"-7"
TDFW	33.0649999999999977	-96.9180560000000071	"584"	DALLAS FT WORTH	TX	UNITED STATES		"30112665"	DENTON	"-6"
TDTW	42.1111110000000011	-83.5150000000000006	"771"	DETROIT	MI	UNITED STATES		"30112668"	WAYNE	"-5"
TEWR	40.5930559999999971	-74.2699999999999960	"135"	NEWARK	NJ	UNITED STATES		"30112683"	UNION	"-5"
TFLL	26.1430560000000014	-80.3438890000000043	"121"	FT LAUDERDALE	FL	UNITED STATES		"30112670"	BROWARD	"-5"
THOU	29.5161109999999987	-95.2419440000000037	"118"	HOUSTON HOBBY	TX	UNITED STATES		"30112671"	BRAZORIA	"-6"
TIAD	39.0838889999999992	-77.5288890000000066	"472"	WASHINGTON DULLES	VA	UNITED STATES		"30112697"	LOUDOUN	"-5"
TIAH	30.0650000000000013	-95.5669440000000066	"253"	HOUSTON INTL	TX	UNITED STATES		"30112672"	HARRIS	"-6"
TICH	37.5069439999999972	-97.4369439999999969	"1352"	WICHITA	KS	UNITED STATES		"30112701"	SEDGWICK	"-6"
TIDS	39.6369439999999997	-86.4361109999999968	"846"	INDIANAPOLIS	IN	UNITED STATES		"30112673"	HENDRICKS	"-5"
TJBQ	18.4849999999999994	-67.1430000000000007	"280"	RAFAEL HERNANDEZ AIRPORT	PR	UNITED STATES		"30110220"	AGUADILLA	"-4"
TJFK	40.5888890000000018	-73.8811110000000042	"112"	NEW YORK CITY JFK	NY	UNITED STATES		"30112682"	KINGS	"-5"
TJRV	18.2560000000000002	-65.6370000000000005	"50"	JOSE APONTE DE LA TORRE AIRPOR	PR	UNITED STATES		"30110221"	CEIBA	"-4"
TLAS	36.1438890000000015	-115.0069400000000002	"2057"	LAS VEGAS	NV	UNITED STATES		"30112675"	CLARK	"-8"
TLVE	41.2899999999999991	-82.0080559999999963	"932"	CLEVELAND	OH	UNITED STATES		"30112661"	LORAIN	"-5"
TMCI	39.4980559999999983	-94.7419440000000037	"1089"	KANSAS CITY	MO	UNITED STATES		"30112674"	PLATTE	"-6"
TMCO	28.3438890000000008	-81.3261109999999974	"171"	ORLANDO INTL	FL	UNITED STATES		"30112685"	ORANGE	"-5"
TMDW	41.6511110000000002	-87.7133330000000058	"764"	CHICAGO MIDWAY	IL	UNITED STATES		"30112659"	COOK	"-6"
TMEM	34.8961109999999977	-89.9930559999999957	"482"	MEMPHIS	MS	UNITED STATES		"30112686"	DESOTO	"-6"
TMIA	25.7580559999999998	-80.4911110000000036	"125"	MIAMI	FL	UNITED STATES		"30112677"	MIAMI-DADE	"-5"
TMKE	42.8188889999999986	-88.0461109999999962	"932"	MILWAUKEE	WI	UNITED STATES		"30112678"	RACINE	"-6"
TMSP	44.8711109999999991	-92.9330559999999934	"1122"	MINNEAPOLIS	MN	UNITED STATES		"30112679"	WASHINGTON	"-6"
TMSY	30.0219440000000013	-90.4030560000000065	"98"	NEW ORLEANS	LA	UNITED STATES		"30112681"	ST. CHARLES	"-6"
TOKC	35.2761110000000002	-97.5100000000000051	"1309"	NORMAN WFO	OK	UNITED STATES		"30112684"	CLEVELAND	"-6"
TORD	41.7969440000000034	-87.8580560000000048	"745"	CHICAGO OHARE	IL	UNITED STATES		"30112660"	COOK	"-6"
TPBI	26.6880559999999996	-80.2730559999999969	"135"	WEST PALM BEACH	FL	UNITED STATES		"30112700"	PALM BEACH	"-5"
TPHL	39.9488890000000012	-75.0688889999999986	"154"	PHILADELPHIA	NJ	UNITED STATES		"30112688"	CAMDEN	"-5"
TPHX	33.4211110000000033	-112.1630499999999984	"1089"	PHOENIX	AZ	UNITED STATES		"30112689"	MARICOPA	"-7"
TPIT	40.5011110000000016	-80.4861109999999940	"1385"	PITTSBURGH	PA	UNITED STATES		"30112690"	BEAVER	"-5"
TRDU	36.0019440000000017	-78.6969440000000020	"515"	RALEIGH	NC	UNITED STATES		"30112691"	WAKE	"-5"
TSDF	38.0461110000000033	-85.6099999999999994	"732"	LOUISVILLE	KY	UNITED STATES		"30112676"	BULLITT	"-5"
TSJU	18.4738889999999998	-66.1788889999999981	"157"	SAN JUAN	PR	UNITED STATES		"30112693"	TOA BAJA	"-4"
TSLC	40.9669439999999980	-111.9300000000000068	"4295"	SALT LAKE CITY	UT	UNITED STATES		"30112692"	DAVIS	"-7"
TSTL	38.8049999999999997	-90.4888890000000004	"646"	ST LOUIS	MO	UNITED STATES		"30112694"	ST. CHARLES	"-6"
TTPA	27.8599999999999994	-82.5180560000000014	"92"	TAMPA	FL	UNITED STATES		"30112695"	HILLSBOROUGH	"-5"
TTUL	36.0711110000000019	-95.8269439999999975	"823"	TULSA	OK	UNITED STATES		"30112696"	TULSA	"-6"
